X,Y,sid,code,name,slots,subway_distance,district,departures,arrivals,in_out,roundtrips,average,average_per_slot,unique_rides,start,start_month,lat,lon
37.635106,55.753925,38,41,"Лубянский пр., д. 27/1, стр.1 (ст.м.Китай-город)",8,24,266,3568,3725,96,21,23,1,61,2015-05-01 00:07:59,5,55.753925,37.635106
37.59311,55.763584,39,43,"Большой Патриарший пер., д.7",12,673,147,4250,4205,101,28,28,1,45,2015-05-01 00:32:59,5,55.763584,37.59311
37.596492,55.766467,40,44,"Благовещенский пер., д.1",12,318,155,1011,976,104,25,7,1,48,2015-05-01 10:32:00,5,55.766467,37.596492
37.599603,55.768055,41,45,"ул. Тверская, д.24, стр.1",12,234,155,2365,2063,115,18,15,1.1,56,2015-05-01 15:28:14,5,55.768055,37.599603
37.602422,55.766494,42,46,"ул. Тверская, д.20, стр.1",12,134,155,2215,2075,107,18,15,1.1,56,2015-05-01 15:47:08,5,55.766494,37.602422
37.605453,55.769588,43,47,"ул. Малая Дмитровка, д.15",12,412,155,1306,1214,108,18,12,1.1,44,2015-06-10 18:22:24,6,55.769588,37.605453
37.641539,55.767169,44,49,"ул. Мясницкая, д.39, стр.1",10,300,141,452,331,137,17,7,1.4,53,2015-05-01 16:32:27,5,55.767169,37.641539
37.599867,55.752609,45,50,"ул. Новый Арбат, д.1",12,124,138,2844,3031,94,20,20,0.9,58,2015-05-02 23:52:16,5,55.752609,37.599867
37.596453,55.75259,46,51,"ул. Новый Арбат, д.11",12,331,138,3126,3248,96,21,20,1,53,2015-05-01 14:38:59,5,55.75259,37.596453
37.589395,55.752291,47,52,"ул. Новый Арбат, д.19",12,586,138,3140,3217,98,19,21,1,51,2015-05-01 01:06:35,5,55.752291,37.589395
37.584725,55.752153,48,53,"ул. Новый Арбат, д.21",12,393,138,3866,4041,96,17,25,1,47,2015-05-01 00:04:43,5,55.752153,37.584725
37.591947,55.747508,49,54,"пер. Сивцев Вражек, д.26, стр.1",12,514,138,2584,2542,102,20,17,1,31,2015-05-01 00:22:03,5,55.747508,37.591947
37.589738,55.740126,50,55,"ул. Пречистенка, д.34",12,550,131,1530,1502,102,15,16,1,41,2015-06-25 18:44:48,6,55.740126,37.589738
